id,value
city.vis.controls.Control,1353
city.vis.controls.ControlList,4665
city.vis.controls.DragControl,2649
city.vis.controls.ExpandControl,2832
city.vis.controls.HoverControl,4896
city.vis.controls.IControl,763
city.vis.controls.PanZoomControl,5222
city.vis.controls.SelectionControl,7862
city.vis.controls.TooltipControl,8435
city.vis.data,
city.vis.data.Data,20544
city.vis.data.DataList,19788
city.vis.data.DataSprite,10349
city.vis.data.EdgeSprite,3301
city.vis.data.NodeSprite,19382
city.vis.data.render,
city.vis.data.render.ArrowType,698
city.vis.data.render.EdgeRenderer,5569
city.vis.data.render.IRenderer,353
city.vis.data.render.ShapeRenderer,2247
city.vis.data.ScaleBinding,11275
city.vis.data.Tree,7147
city.vis.data.TreeBuilder,9930
city.vis.events,
city.vis.events.DataEvent,2313
city.vis.events.SelectionEvent,1880
city.vis.events.TooltipEvent,1701
city.vis.events.VisualizationEvent,1117
city.vis.legend,
city.vis.legend.Legend,20859
city.vis.legend.LegendItem,4614
city.vis.legend.LegendRange,10530
city.vis.operator,
city.vis.operator.distortion,
city.vis.operator.distortion.BifocalDistortion,4461
city.vis.operator.distortion.Distortion,6314
city.vis.operator.distortion.FisheyeDistortion,3444
city.vis.operator.encoder,
city.vis.operator.encoder.ColorEncoder,3179
city.vis.operator.encoder.Encoder,4060
city.vis.operator.encoder.PropertyEncoder,4138
city.vis.operator.encoder.ShapeEncoder,1690
city.vis.operator.encoder.SizeEncoder,1830
city.vis.operator.filter,
city.vis.operator.filter.FisheyeTreeFilter,5219
city.vis.operator.filter.GraphDistanceFilter,3165
city.vis.operator.filter.VisibilityFilter,3509
city.vis.operator.IOperator,1286
city.vis.operator.label,
city.vis.operator.label.Labeler,9956
city.vis.operator.label.RadialLabeler,3899
city.vis.operator.label.StackedAreaLabeler,3202
city.vis.operator.layout,
city.vis.operator.layout.AxisLayout,6725
city.vis.operator.layout.BundledEdgeRouter,3727
city.vis.operator.layout.CircleLayout,9317
city.vis.operator.layout.CirclePackingLayout,12003
city.vis.operator.layout.DendrogramLayout,4853
city.vis.operator.layout.ForceDirectedLayout,8411
city.vis.operator.layout.IcicleTreeLayout,4864
city.vis.operator.layout.IndentedTreeLayout,3174
city.vis.operator.layout.Layout,7881
city.vis.operator.layout.NodeLinkTreeLayout,12870
city.vis.operator.layout.PieLayout,2728
city.vis.operator.layout.RadialTreeLayout,12348
city.vis.operator.layout.RandomLayout,870
city.vis.operator.layout.StackedAreaLayout,9121
city.vis.operator.layout.TreeMapLayout,9191
city.vis.operator.Operator,2490
city.vis.operator.OperatorList,5248
city.vis.operator.OperatorSequence,4190
city.vis.operator.OperatorSwitch,2581
city.vis.operator.SortOperator,2023
city.vis.Visualization,16540
